date,company_name,company_domain,amount_raised,round_type,source_url,lead_investors,round_reasoning,discovered_by,source_count,score
2026-04-21,VisioLab,not_enriched,$11M,Series A,https://tech.eu/2026/04/21/visiolab-raises-11m-series-a-to-scale-ai-self-checkout-globally/,not_enriched,not_enriched,q8,1,20
2026-04-21,Smart Robotics,not_enriched,€10M,Series A,https://tech.eu/2026/04/21/smart-robotics-secures-eur10m-series-a-to-expand-ai-robotic-picking-in-europe/,not_enriched,not_enriched,q8,1,20
2026-04-21,Ethermed,not_enriched,$8.5 Million,Series A,https://www.thesaasnews.com/news/ethermed-raises-8-5-million-series-a,not_enriched,not_enriched,"q1,q3",2,10
2026-04-21,Hata,not_enriched,$8 Million,Series A,https://www.prnewswire.com/news-releases/hata-completes-us8-million-series-a-financing-led-by-bybit-302747468.html,not_enriched,not_enriched,"q2,q6,q1",4,10
2026-04-21,Cerca Magnetics,not_enriched,£3.8m,Series A,https://thequantuminsider.com/2026/04/21/cerca-magnetics-secures-38m-series-a-funding-scale-quantum-brain-scanner/,not_enriched,not_enriched,"q2,q1",2,10
2026-04-21,Ideally,not_enriched,$13.4M,Series A,https://www.bandt.com.au/ideally-raises-13-4m-in-series-a-funding-to-accelerate-us-expansion/,not_enriched,not_enriched,q1,1,10
2026-04-21,DinoTecia,not_enriched,90 Billion,Series A,https://finance.biggo.com/news/_-0Er50BrdTHlKtCJ_E7,not_enriched,not_enriched,q1,1,10
2026-04-21,Content Creator Nas Daily's AI Startup,not_enriched,$27M,Series A,https://www.netinfluencer.com/content-creator-nas-daily-ai-startup-raises-27m-usd-to-expand-ai-platform-for-solopreneurs/,not_enriched,not_enriched,q7,1,10
2026-04-21,Creao AI,not_enriched,$10 Million,Unknown,https://www.thesaasnews.com/news/creao-ai-lands-10-million-in-funding,not_enriched,not_enriched,q3,1,8
2026-04-21,INVIA,not_enriched,$1.2 Million,Unknown,https://www.thesaasnews.com/news/invia-raises-1-2-million-in-funding,not_enriched,not_enriched,q3,1,8
2026-04-21,"RIIG Technology, Inc. (dba HOOTL™)",not_enriched,$6M,Series A,https://www.businesswire.com/news/home/20260420139555/en/RIIG-Technology-Inc.-dba-HOOTL-Announces-Successful-Close-of-%246M-Million-Series-A-to-Accelerate-AI-Driven-Healthcare-and-Infrastructure-Solutions,not_enriched,not_enriched,q2,1,8
2026-04-21,Dnotitia,not_enriched,90 Billion,Series A,https://www.cincinnati.com/press-release/story/60081/dnotitia-closes-krw-90-billion-series-a-to-accelerate-ai-storage-expansion/,not_enriched,not_enriched,q2,1,8
2026-04-21,Vertical Aerospace,not_enriched,,Series A,https://vertical-aerospace.com/wp-content/uploads/2026/04/20260420-Press-Release-Financing-package_v1.pdf,not_enriched,not_enriched,"q2,q6",2,6
2026-04-21,Aspire Biopharma,not_enriched,,Series A,https://www.biospace.com/press-releases/aspire-biopharma-announces-closing-of-second-and-final-tranche-of-21-million-private-placement-by-select-investors-secures-commitment-letter-for-22-5m-credit-facility-to-fund-the-dcs-acquisition,not_enriched,not_enriched,q2,1,6
2026-04-21,Synthetic fuel startup Rivan,not_enriched,£25m,Unknown,https://www.linkedin.com/posts/tech-city-news_synthetic-fuel-startup-rivan-raises-25m-activity-7451981200178450432-YhLB,not_enriched,not_enriched,q7,1,6
2026-04-21,VisioLab,www.visiolab.io,$11M,Series A,https://tech.eu/2026/04/21/visiolab-raises-11m-series-a-to-scale-ai-self-checkout-globally/,not_stated,not_stated,q8,1,20
2026-04-21,Smart Robotics,smart-robotics.io,€10M,Series A,https://tech.eu/2026/04/21/smart-robotics-secures-eur10m-series-a-to-expand-ai-robotic-picking-in-europe/,not_stated,not_stated,q8,1,20
2026-04-21,Ethermed,www.ethermed.ai,$8.5 Million,Series A,https://www.thesaasnews.com/news/ethermed-raises-8-5-million-series-a,not_stated,not_stated,"q1,q3",2,10
2026-04-21,Hata,hata.io,$8 Million,Series A,https://www.prnewswire.com/news-releases/hata-completes-us8-million-series-a-financing-led-by-bybit-302747468.html,not_stated,not_stated,"q1,q2,q6",4,10
2026-04-21,Cerca Magnetics,www.cercamagnetics.com,£3.8m,Series A,https://thequantuminsider.com/2026/04/21/cerca-magnetics-secures-38m-series-a-funding-scale-quantum-brain-scanner/,not_stated,not_stated,"q1,q2",2,10
2026-04-21,Ideally,www.goideally.com,$13.4M,Series A,https://www.bandt.com.au/ideally-raises-13-4m-in-series-a-funding-to-accelerate-us-expansion/,not_stated,not_stated,q1,1,10
2026-04-21,DinoTecia,dnotitia.com,90 Billion,Series A,https://finance.biggo.com/news/_-0Er50BrdTHlKtCJ_E7,not_stated,not_stated,q1,1,10
2026-04-21,Content Creator Nas Daily's AI Startup,nasdaily.com,$27M,Series A,https://www.netinfluencer.com/content-creator-nas-daily-ai-startup-raises-27m-usd-to-expand-ai-platform-for-solopreneurs/,not_stated,not_stated,q7,1,10
